name,d1,d2
3 x 1.5,3.0,1.5
4 x 1.5,4.0,1.5
5 x 1.5,5.0,1.5
6 x 1.5,6.0,1.5
3 x 2.0,3.0,2.0
4 x 2.0,4.0,2.0
5 x 2.0,5.0,2.0
6 x 2.0,6.0,2.0
8 x 2.0,8.0,2.0
10 x 2.0,10.0,2.0
12 x 2.0,12.0,2.0
10 x 2.5,10.0,2.5
12 x 2.5,12.0,2.5
14 x 2.5,14.0,2.5
15 x 2.5,15.0,2.5
16 x 2.5,16.0,2.5
18 x 2.5,18.0,2.5
10 x 3.0,10.0,3.0
12 x 3.0,12.0,3.0
14 x 3.0,14.0,3.0
15 x 3.0,15.0,3.0
16 x 3.0,16.0,3.0
18 x 3.0,18.0,3.0
20 x 3.0,20.0,3.0
22 x 3.0,22.0,3.0
24 x 3.0,24.0,3.0
25 x 3.0,25.0,3.0
30 x 3.0,30.0,3.0
20 x 4.0,20.0,4.0
22 x 4.0,22.0,4.0
24 x 4.0,24.0,4.0
25 x 4.0,25.0,4.0
28 x 4.0,28.0,4.0
30 x 4.0,30.0,4.0
32 x 4.0,32.0,4.0
35 x 4.0,35.0,4.0
40 x 4.0,40.0,4.0
45 x 4.0,45.0,4.0
50 x 4.0,50.0,4.0
40 x 5.0,40.0,5.0
45 x 5.0,45.0,5.0
50 x 5.0,50.0,5.0
55 x 5.0,55.0,5.0
60 x 5.0,60.0,5.0
70 x 5.0,70.0,5.0
80 x 5.0,80.0,5.0
90 x 5.0,90.0,5.0
100 x 5.0,100.0,5.0
