name,d1,d2,s,h
M3 (3.6x7.5),3.6,7.5,1.0,1.2
M4 (4.6x9.0),4.6,9.0,1.0,1.2
M5 (5.6x10.0),5.6,10.0,1.0,1.2
M6 (6.7x11.0),6.7,11.0,1.0,1.2
M8 (8.7x13.0),8.7,13.0,1.0,1.2
M10 (10.7x16.0),10.7,16.0,1.5,2.0
M12 (12.7x18.0),12.7,18.0,1.5,2.0
M14 (14.7x22.0),14.7,22.0,1.5,2.0
M16 (16.7x24.0),16.7,24.0,1.5,2.0
M18 (18.7x26.0),18.7,26.0,1.5,2.0
M20 (20.7x28.0),20.7,28.0,1.5,2.0
M22 (22.7x30.0),22.7,30.0,2.0,2.5
M24 (24.7x32.0),24.7,32.0,2.0,2.5
M26 (26.7x35.0),26.7,35.0,2.0,2.5
M27 (27.7x36.0),27.7,36.0,2.0,2.5
M30 (30.7x39.0),30.7,39.0,2.0,2.5
M33 (33.7x42.0),33.7,42.0,2.0,2.5
M36 (36.7x46.0),36.7,46.0,2.0,2.5
M42 (42.7x51.0),42.7,51.0,2.0,2.5
M48 (48.7x59.0),48.7,59.0,2.0,2.5
M52 (52.7x64.0),52.7,64.0,2.0,2.5
M60 (60.7x73.0),60.7,73.0,2.0,2.5
G 1/8 (10.4x14.7),10.4,14.7,1.2,1.5
G 1/4 (13.7x20.6),13.7,20.6,1.2,1.5
G 3/8 (17.3x23.9),17.3,23.9,1.2,1.5
G 1/2 (21.5x28.6),21.5,28.6,1.2,1.5
G 3/4 (27.0x34.9),27.0,34.9,1.2,1.5
G 1 (33.9x42.8),33.9,42.8,2.0,2.5
G 1 1/4 (42.9x52.4),42.9,52.4,2.0,2.5
G 1 1/2 (48.4x58.6),48.4,58.6,2.0,2.5
G 2 (60.6x73.0),60.6,73.0,2.0,2.5
